BOM List,BOM Item,Device Name,Description,Serial Number,Note
D.1.3,E1,DAQM,Linux server responsible for data acquisition/export,1PG3DB4,Dell Service tag
D.1.3,E3,DISWS3,"Linux workstation for operations.  Also responsible for monitoring system health with miscellaneous EPICS tools (Archiver, OLOG, Alarm)",9651DB4,Dell Service tag
D.1.3,E4,MDASSW,24 port Ethernet network switch,FML4452U010,
D.1.3,E9,DAQM1,Osprey-DCS DAQ-32-250-24 equipment,NA20-1005,
D.1.3,E9,DAQM2,Osprey-DCS DAQ-32-250-24 equipment,NA20-1006,
D.1.3,E9,DAQM3,Osprey-DCS DAQ-32-250-24 equipment,NA20-1007,
D.1.3,E9,DAQM4,Osprey-DCS DAQ-32-250-24 equipment,NA20-1008,
D.1.3,E9,DAQM5,Osprey-DCS DAQ-32-250-24 equipment,NA20-1009,
D.1.3,E9,DAQM6,Osprey-DCS DAQ-32-250-24 equipment,NA20-1010,
D.1.3,E9,DAQM7,Osprey-DCS DAQ-32-250-24 equipment,NA20-1011,
D.1.3,E9,DAQM8,Osprey-DCS DAQ-32-250-24 equipment,NA20-1014,
D.1.3,E10,NTPS,GPS/NTP Server with IRIG Option Card,A-10370,
