Power Cables,Description,Manufacturer,Part Number,From,To,Cable ID,Notes
Power Cables,From device vendor,,,IR8-PS2,IR8-NTPS,NTPS PS,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR8-PS 1,IR8-DAQ1,DAQM1,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR8-PS 2,IR8-DAQ2,DAQM2,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR8-PS 1,IR8-DAQ3,DAQM3,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR8-PS 2,IR8-DAQ4,DAQM4,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR8-PS 1,IR8-DAQ5,DAQM5,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR8-PS 2,IR8-DAQ6,DAQM6,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR8-PS 2,IR8-DAQ7,DAQM7,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR8-PS 2,IR8-DAQ8,DAQM8,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR8-PS 2,IR8-DAQ9,DAQM9,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR8-PS 2,IR8-DAQ10,DAQM10,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR8-PS 1,IR8-DAQ11,DAQM11,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR8-PS 1,IR8-DAQ12,DAQM12,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR8-PS 1,IR8-DAQ13,DAQM13,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR8-PS 1,IR8-DAQ14,DAQM14,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR8-PS 1,IR8-DAQ15,DAQM15,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR8-PS 1,IR8-DAQ16,DAQM16,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR9-PS 1,IR9-DAQ17,DAQM17,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR9-PS 1,IR9-DAQ18,DAQM18,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR9-PS 2,IR9-DAQ19,DAQM19,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR9-PS 2,IR9-DAQ20,DAQM20,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR9-PS 2,IR9-DAQ21,DAQM21,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR9-PS 1,IR9-DAQ22,DAQM22,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR9-PS 2,IR9-DAQ23,DAQM23,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR9-PS 2,IR9-DAQ24,DAQM24,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR9-PS 2,IR9-DAQ25,DAQM25,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR9-PS 1,IR9-DAQ26,DAQM26,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR9-PS 1,IR9-DAQ27,DAQM27,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR9-PS 2,IR9-DAQ28,DAQM28,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR9-PS 2,IR9-DAQ29,DAQM29,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR9-PS 1,IR9-DAQ30,DAQM30,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR9-PS 1,IR9-DAQ31,DAQM31,
Power Cables,,Mean Well USA,GSM60U12-P1J,IR9-PS 1,IR9-DAQ32,DAQM32,
Power Cables,From device vendor,,,IR9-PS 1,IR9-NETSW AC1,DAQSW AC1,
Power Cables,From device vendor,,,IR9-PS 2,IR9-NETSW AC2,DAQSW AC2,
Power Cables,From device vendor,,,IR9-PS 1,IR9-DAQS AC1,DAQS AC1,
Power Cables,From device vendor,,,IR9-PS 2,IR9-DAQS AC2,DAQS AC2,
Power Cables,From device vendor,,,C1-AC 1,C1-DISWS 1,DISWS1,
Power Cables,From device vendor,,,C1-AC 2,C1-DISWS 2,DISWS2,
Power Cables,From device vendor,,,C1-AC 1,C1-CRMSW,CRMSW AC1,
Power Cables,From device vendor,,,C1-AC 2,C1-CRMSW,CRMSW AC2,
Power Cables,From device vendor,,,C1-AC 1,C1-MISCS,MISCS AC1,
Power Cables,From device vendor,,,C1-AC 2,C1-MISCS,MISCS AC2,
Timing Cables,RG58 BNC,,,IR8-IRIG-PPS TTL,IR8-DAQ1-BNC,"IR8-IRIG-PPS TTL
IR8-DAQ1-BNC",Cable ID was generated based on figures referenced in D.3.1 section A2 Timing and A6 Chassis
Timing Cables,OM4 50/125 LC Duplex,FS,OM4LCDX,IR8-DAQ1-EVR,IR8-DAQ2-EVFO2,"IR8-DAQ1-EVR
IR8-DAQ2-EVFO2",Cable ID was generated based on figures referenced in D.3.1 section A2 Timing and A6 Chassis
Timing Cables,OM4 50/125 LC Duplex,FS,OM4LCDX,IR8-DAQ1-EVFO1,IR8-DAQ11-EVFI,"IR8-DAQ1-EVFO1
IR8-DAQ11-EVFI",Cable ID was generated based on figures referenced in D.3.1 section A2 Timing and A6 Chassis
Timing Cables,OM4 50/125 LC Duplex,FS,OM4LCDX,IR8-DAQ1-EVFO2,IR8-DAQ5-EVFI,"IR8-DAQ1-EVFO2
IR8-DAQ5-EVFI",Cable ID was generated based on figures referenced in D.3.1 section A2 Timing and A6 Chassis
Timing Cables,OM4 50/125 LC Duplex,FS,OM4LCDX,IR8-DAQ1-EVFO3,IR9-DAQ27-EVFI,"IR8-DAQ1-EVFO3
IR9-DAQ27-EVFI",Cable ID was generated based on figures referenced in D.3.1 section A2 Timing and A6 Chassis
